datetime,product_id,price,qty,customer_id,promotion_id,store_id,po_id
2025-12-10 00:00:00,P007,249.57,1,C0001,,S004,PO100000
2025-12-10 00:00:00,P008,141.34,1,C0001,,S004,PO100000
2025-12-30 03:04:22,P025,101.18,1,C0001,PROM_HIST_2,S005,PO100001
2025-12-30 03:04:22,P002,53.28,2,C0001,,S005,PO100001
2025-12-30 03:04:22,P022,14.6,1,C0001,PROM_HIST_1,S005,PO100001
2026-01-02 16:38:50,P023,71.75,2,C0001,,S001,PO100002
2026-01-02 16:38:50,P034,86.18,2,C0001,PROM_HIST_2,S001,PO100002
2026-01-02 16:38:50,P007,249.57,2,C0001,,S001,PO100002
2026-01-02 16:38:50,P045,43.56,2,C0001,,S001,PO100002
2026-01-05 20:41:38,P009,53.25,1,C0001,,S003,PO100003
2026-01-05 20:41:38,P042,51.16,1,C0001,,S003,PO100003
2026-01-05 20:41:38,P015,48.12,2,C0001,,S003,PO100003
2026-01-27 01:16:58,P035,397.16,1,C0001,,S001,PO100004
2026-01-27 01:16:58,P024,39.24,2,C0001,,S001,PO100004
2026-01-27 01:16:58,P007,212.13,1,C0001,PROM_HIST_2,S001,PO100004
2026-01-28 13:09:56,P014,29.48,1,C0001,PROM_HIST_2,S001,PO100005
2026-02-09 05:01:04,P030,40.99,2,C0001,,S002,PO100006
2026-02-09 05:01:04,P032,112.36,1,C0001,,S002,PO100006
2026-02-09 05:01:04,P025,119.03,2,C0001,,S002,PO100006
2026-02-09 05:01:04,P048,40.19,1,C0001,,S002,PO100006
2026-04-02 21:53:30,P048,40.19,2,C0001,,S001,PO100007
2026-04-15 07:42:53,P022,16.22,2,C0001,,S003,PO100008
2026-04-15 07:42:53,P010,251.05,1,C0001,,S003,PO100008
2026-04-15 07:42:53,P016,20.17,1,C0001,PROM_HIST_1,S003,PO100008
2026-04-25 04:08:07,P045,43.56,1,C0001,,S002,PO100009
2026-04-25 04:08:07,P031,375.23,1,C0001,,S002,PO100009
2026-04-25 04:08:07,P044,444.12,1,C0001,,S002,PO100009
2026-04-25 04:08:07,P048,36.17,2,C0001,PROM_HIST_1,S002,PO100009
2026-05-02 13:34:46,P011,320.86,2,C0001,,S002,PO100010
2026-05-02 13:34:46,P040,34.81,1,C0001,,S002,PO100010
2026-05-02 13:34:46,P046,345.36,2,C0001,PROM_HIST_2,S002,PO100010
2026-05-02 13:34:46,P033,117.67,1,C0001,PROM_HIST_2,S002,PO100010
2026-05-07 17:09:30,P042,51.16,1,C0001,,S001,PO100011
2026-05-07 17:09:30,P031,375.23,1,C0001,,S001,PO100011
2026-05-07 17:09:30,P048,40.19,1,C0001,,S001,PO100011
2026-05-10 20:21:00,P027,99.81,1,C0001,,S004,PO100012
